answer	explanation	initials	submitted
Yes	Work is way larger than what's paid for, and the notion of being is an easy but incomplete way to describe the sum of one's actions.	DD	1400459940429
Yes	I feel like my work is me, I am my work. On the one hand this is great, I'm 'invested' in it. On the other hand, it's a problem. I have come to crave work I don't identify with so that I can reclaim non-work time for myself. The morphing of work and self has become oppressive, its separation can be liberating.	SH	1400600985310
No	Your works are various stages in your progression through life. Sometimes we change directions to do different work, but that doesn't make us fragmented.	HML	1401231167769
Yes	I am an interpretive vessel of everything that I know; I am what I know, and my work is me.	KB	1403769663759
Yes	i am my work while i doing it. then i changed into something else. thats why i have to keep creating, to keep up with myself. thank you.	ete	1403974498024
No	I am smart, happy, caring and outgoing. I am silly, sad, inconsiderate and shy. I'm a lot of things at a lot of times and I'm a lot more than my work!	RB	1405599641679
Yes	yes, work is life is work. if you love your job, you would not even call it job.	sd	1405619558616
Yes	Because my work is super-duper important to me and is an expression of my individuality.	CFA	1406680248777
Yes	My work is a window to my heart, a sacred house, with many rooms. We are built of our passions. And even the things that get in the way, that don't seem to be ways of baring myself to the world, the daily interferences to these passions, they are part of me, and they are work too.	ALM	1407100243285
No	I'm not my work that makes me my money. I envy the people who say yes to this question, but because I say no I am always at odds with my home, with my body, with my loved ones, with my balance. I doubt I'll ever find work that makes me money and for which the answer to this question is yes, because it seems to me the only real tragedy of being alive is that we have to work for money until we are dead or else die at the hand of money.	DS	0
No	I don't have a job.	VW	0
