neighborhood,neighborhood.lowercase,topic,topic.lowercase,we need more,so i will,city wide
Hollywood,hollywood,transportation,transportation,off street parking for all new multi-unit construction projects,not be resentful of all of the people who wish to move to our great city,
Roseway,roseway,transportation,transportation,high speed access to downtown - BRT or street car - connecting to roseway,,
Roseway,roseway,transportation,transportation,"sidewalks, fixed potholes in streets",write letters join neighborhood activities,
Downtown,downtown,transportation,transportation,an actual public transit system -> subway prague has one we should too,complain,all neighborhoods
Downtown,downtown,transportation,transportation,pedestrian safety,tell council to get more walk signs,
Downtown,downtown,transportation,transportation,dogsleds that are publicly funded,breed an excess of hyper-endurable bioengineered huskies. supply and demand!,all neighborhoods
Downtown,downtown,transportation,transportation,"parking, so arriving to portland is less stressful",get more people to enjoy this beautiful city,
Downtown,downtown,transportation,transportation,i came from Canada very transportation system,,
Downtown,downtown,transportation,transportation,safe cycling throughout the city,be an advocate for better cylcing / cyclist behavior,
Downtown,downtown,transportation,transportation,better system of roads and public transportation,take the bus / max more. invite others to do the same.,
Beaverton,beaverton,Transportation,transportation,wide roads and express transportation options in beaverton. people in the suburbs would take it if it were express and more,keep driving to a bus till it becomes easier,
Pearl,pearl,Transportation,transportation,awareness of pedestrians in the pearl. stop cars parking so close to intersections. change parking road marking,as a motorist look very carefully,
Beaverton,beaverton,Transportation,transportation,lower bus fares - price of gas went down and its too expensive,not sure,
Beaverton,beaverton,Transportation,transportation,buses going to vista up and down,i will promote the public buses instead of so many private cars,
Tigard,tigard,Transportation,transportation,less cars on the freeway :),give up driving my vehicle,
Downtown,downtown,Transportation,transportation,Less pollution less traffic more public transportation,continue to ride bike when i can but with having to live further away due to increasing housing costs this is harder,
Downtown,downtown,Transportation,transportation,education for pedestrians and cycles (rules of the road),be happy to pay taxes for certification classes for all,
Downtown,downtown,Transportation,transportation,frequent / accessible transit,go to my local council meeting and speak up,
Downtown,downtown,Transportation,transportation,traffic lanes heading west on I-84 by 205 merge so traffic doesn't congest to bad at 6:30am,add another lane so 205 -> 84 doesn't merge with existing traffic it gets its own lane so everyone keeps flowing,
Downtown,downtown,Transportation,transportation,Bark up on Highway 30 southbound to get to St. Johns Bridge,need to improve traffic on highway 26,
Downtown,downtown,Transportation,transportation,reliable bus schedules,drive or bike instead,all neighborhoods
Downtown,downtown,Transportation,transportation,"safe sidewalk crossings that have the blinking lights on the actual painted walk across strets for the safety of our children and active older adults. also some crossings white paid need a repaint job in NE / SE predominantly because they are the most populated density with new families. ""the changing of the guard"" from seniors aging and the next generation taking over with young families. most are juggling tasks and the cross walks lighted may create more awareness",,
Downtown,downtown,Transportation,transportation,cheaper public parking downtown,,
Downtown,downtown,Transportation,transportation,fixed gear bicycles,build more wheels,
Downtown,downtown,Transportation,transportation,pedestrian respect stop allowing for profit developers to block our rights of way (all over portland),,all neighborhoods
Downtown,downtown,Transportation,transportation,bicycle friendly routes and protected bike lanes,ride my bike more and educate others about cycling,
Downtown,downtown,Transportation,transportation,breaks / discounted transportation rates! too high!,propose a 2 1/2 hour pass be $1.50 and 5 hour = $3,
Downtown,downtown,Transportation,transportation,technical turning bike lanes and bigger bike lanes,vote for this to happen,
Downtown,downtown,Transportation,transportation,fill the gaps in public transportation routes,,
Downtown,downtown,Transportation,transportation,better max the rail lines get too hot,propose new lines like seattle's,
Downtown,downtown,Transportation,transportation,easy wats to get around to be far and wide,support public transportation,
Downtown,downtown,Transportation,transportation,bury the eastbank freeway,,
Downtown,downtown,Transportation,transportation,buses and trams so we can travel through the expanse of portland,i don't know. what can i do?,
Downtown,downtown,Transportation,transportation,hi-speed trains! (to the coast) (Vancouver BC <--> California),write this card,
Downtown,downtown,Transportation,transportation,give students free and more of a discount on the trimet pass,,
Downtown,downtown,Transportation,transportation,bus lines / max,,
Downtown,downtown,Transportation,transportation,max specific routes. the combination of cars and trains can slow things down,find alternative routes / ways of transportation. email my representative. also stop whiing.,
Downtown,downtown,Transportation,transportation,,thank trimet for letting tourists use your good system same as Portlanders,
Downtown,downtown,Transportation,transportation,"tolls on I-5, I-205, I-405 ... price auto parking (not more parking, more pricing)",advocate for pricing in city and state plans,
Downtown,downtown,Transportation,transportation,bike lanes,pay more taxes,
Downtown,downtown,Transportation,transportation,self driving cars. highway 26. never again,,
Downtown,downtown,Transportation,transportation,eco friendly transportation systems,make my opinion known and only use eco friendly transit.,
Downtown,downtown,Transportation,transportation,"trimet needs to be more on time, and treat people with more respect","be on time, be kind, be understanding",
Downtown,downtown,Transportation,transportation,less polution,take the train and bike,
Downtown,downtown,Transportation,transportation,people use public transportation! traffic is horrible!,,
Downtown,downtown,Transportation,transportation,freeway lanes. the bottleneck on I-5/I-84 is terrible!,be patient and grateful if they start constructing an alternative highway or boulevard,
sabin,sabin,transportation,transportation,bike highways! ride to work more,ride to work more,
irvington,irvington,transportation,transportation,"transportation (bus) connections from ne pdx to north pdx! at non-peak hours, it can take around an hour plus to get from grant park area to alberta / mlk neighborhood. i often feel stranded :( ",,
pearl,pearl,transportation,transportation,protected bike lanes on nw 14th,be safer on my commute,
beaverton,beaverton,transportation,transportation,"better and more alternatives to hwy 26 to get into and back to ""outer pdx"" especially with expansion of bethany ",would take max if parking at sunset were an option (reliable option),
beaverton,beaverton,transportation,transportation,mountain bike venue close by go tualatin!,,
beaverton,beaverton,transportation,transportation,light rail link between tualatin tc and clackamas tc using green line,attend open hours and elevate monorail increase weekend 22-24 87,
northwest district,northwest district,transportation,transportation,safe ways to cross burnside,have a safer commute as a pedestrian to downtown for work and entertainment,
northwest district,northwest district,transportation,transportation,available transportations on weekends in the northwest area,support transportation companies with donations,
,,transportation,transportation,bike paths - especially along I84. lets move on the cool bike path proposed!,support with input and eagerly ride the path. help resolve issues.,
,,transportation,transportation,stop closing bus stops... we need more transit not less,ride my bike more - at age 61 i need better transit,
,,transportation,transportation,less traffic,bring back free max,
,,transportation,transportation,later max and bus routes,certain employees are guaranteed a ride home,
beaverton,beaverton,transportation,transportation,"long term plains for highway system in portland suburbs! ie: 26, 205",have a better commute and more time with family,
beaverton,beaverton,transportation,transportation,frequent max trains,keep riding the max from ne portland to beaverton,
,,transportation,transportation,traffic calming devices on feeder streets to slow down traffic. ,participate in neighborhood outreach to organize and direct city efforts. ,
,,transportation,transportation,time on max on weekends ,promote the idea,
,,transportation,transportation,"common sense intersection design, no parked cars at corners, give pedestrians a head start before cars.",,
goose hollow,goose hollow,transportation,transportation,parking for residents and employees of goose hollow.,it's too late. i left my apartment because of parking and rent rates.,
northwest district,northwest district,transportation,transportation,sidewalks for west burnside and cornell roads. safe passage!,use them!,
hollywood,hollywood,transportation,transportation,bus and foot and bike only lanes,"use the bus, bike and foot traffic lanes we do have more often",
,,transportation,transportation,public transportation for people who need it. ,use more of it an help people with your problem,
,,transportation,transportation,frequent bus 44 bus line,use the # 44 more,
,,transportation,transportation,max to go to vancouver,vote for it,
,,transportation,transportation,rail systems,take the light rails as much as possible,
beaverton,beaverton,transportation,transportation,rapid transit into pdx... or other lanes / ways in. hwy 26 is a mess!,vote it in!,
st. johns,st. johns,transportation,transportation,better bike and bus routes from saint johns to downtown,i'm not sure what to do about it. write odot? city of portland?,
boise,boise,transportation,transportation,less congested roadways!,ride my bike! walk! ride share!,
,,transportation,transportation,rapid transit options to alleviate traffic,be able to take transit for all my daily activities ,
,,transportation,transportation,cheaper transportation for low income families taking public transit,investigate on ways to make it possible / start a petition ,
,,transportation,transportation,parking modifications to eliminate large trucks and service vehicles from parking too close to corner of intersction. creates large blind spot at no stop intersection.,not park large vehicles at corners that may cause safety issues.,
,,transportation,transportation,larger coverage to more places. ,figure out where people would like to go.,
hillsdale,hillsdale,housing,housing,affordable housing,attend events,
hillsdale,hillsdale,housing,housing,ben heikkila housing,"i thank you are doing a great job, we stil need more",
hillsdale,hillsdale,housing,housing,control over the housing market. more affordable places to live that aren't crazy expensive,be grateful :),
hillsdale,hillsdale,housing,housing,more affordable housing,raise awareness,
burlingame,burlingame,housing,housing,New houses should match the character & style of the neighborhood. In-fills can change area pretty dramatically,,
burlingame,burlingame,housing,housing,Affordable Housing on Capitol Hwy.,Continue to voice my concern until something happens,
cully,cully,housing,housing,affordable housing,find avenues to speak up,
sunnyside,sunnyside,housing,housing,stop knocking down buildings,help protest rent control + anything else i can,
sunnyside,sunnyside,housing,housing,less expensive housing,,
sunnyside,sunnyside,housing,housing,mixed income housing close-in,support policy change to implement rules about mixed income housing,
sunnyside,sunnyside,housing,housing,cheap condo's cause other multifamilty houses are expensive,try & help,
sunnyside,sunnyside,housing,housing,low cost housing close-in SE,,
sunnyside,sunnyside,housing,housing,affordable family housing,live closer to work + school,
sunnyside,sunnyside,housing,housing,rent contro! and fewer demolitions,lobby city hall,
sunnyside,sunnyside,housing,housing,low income family housing,,
sunnyside,sunnyside,housing,housing,less expensive housing,,
sunnyside,sunnyside,housing,housing,housing that is affordable,help build more... teach about benefits of density,
sunnyside,sunnyside,housing,housing,low income housing,yell loudly about it,
buckman,buckman,housing,housing,homeless services,pay more in taxes,
buckman,buckman,housing,housing,affordable housing! not just rentals,use data to influence decision making,
buckman,buckman,housing,housing,restrictions to building condos in allready dense areas,,
buckman,buckman,housing,housing,affordable housing. And less rent increases,participate in citizens' forums,
buckman,buckman,housing,housing,ways to co-live and experiment with living models,try tiny houses on wheels + report back :),
buckman,buckman,housing,housing,affordable housing no more expensive rent,,
buckman,buckman,housing,housing,rent control,participate with this tag,
buckman,buckman,housing,housing,"options / solutions for the homeless ... I don't have answers, but we need to do more.",,
buckman,buckman,housing,housing,Affordable places to rent,Burn down all the luxury condos. And start up a gang.,
buckman,buckman,housing,housing,Housing for lower income housing prices don't match income,Build a tiny house + park it in a back yard,
buckman,buckman,housing,housing,Affordable homes for younger couples to start a family,Reach out to my community members to encourage multiple people living in a big house,
laurelhurst,laurelhurst,housing,housing,rentention of historic housing in neighborhood,care for my historic home,
laurelhurst,laurelhurst,housing,housing,less homelessness.,,
laurelhurst,laurelhurst,housing,housing,cost o housing & / rent control,attend nieghborhood association meeting sto shet light of the subject,
laurelhurst,laurelhurst,housing,housing,"Tree canopy needs to be saved, all homes will be 100 yers old -- 8-10 yrs",work for preservation of both but very careful zoning could be adopted for some lots,
lloyd,lloyd,housing,housing,mixed use development on grand ave + mlk,,
lloyd,lloyd,housing,housing,"lower renting options, less gentrification",be able to afford my apartment without assistance from the goverment.,
lloyd,lloyd,housing,housing,affordable housing,do more to hold the commissioner accountable,
lloyd,lloyd,housing,housing,affordable housing for our artistic community. the arts are so important to the diversity of this great city,continuing making + creating and advocating for the artists + makers,
lloyd,lloyd,housing,housing,low income housing!,play an active role local elections,
lloyd,lloyd,housing,housing,"affordable housing for families and seniors as well as individuals, more home ownership programs for minorities",,
milwaukie,milwaukie,housing,housing,rent control,vote accordingly,
milwaukie,milwaukie,housing,housing,affordable housing,push towards inclusionary zone,
milwaukie,milwaukie,housing,housing,stric housing laws on landlords,work with community alliance for tenants,
milwaukie,milwaukie,housing,housing,affordable housing,support any canadite that can make that happen,
South Waterfront,south waterfront,housing,housing,Housing that hangs from cables strung over the river,Support affordable housing initiatives and design the housing myself.,
South Waterfront,south waterfront,housing,housing,Care by housing advocates for environments / resources - don't use affordable housing as an excuse,Continue to raise awareness of the need to protect fish habitat in riparian corridors - don't build on them,All neighborhoods
South Waterfront,south waterfront,housing,housing,Affordable housing,Challenge local governement to set a max rent amount,
South Waterfront,south waterfront,housing,housing,Constant awareness these are people. Be mindful most people are low income living paycheck to paycheck,Speek with people that need help and share info I know,
South Waterfront,south waterfront,housing,housing,,We can not afford full time housing with part time jobs,
South Waterfront,south waterfront,housing,housing,Affordable housing for students and homeless people,Work hard to make more and volunteer in the community.,
South Waterfront,south waterfront,housing,housing,"Options for the homeless. They are ""shipped"" to PDX from all over and we can only do so much",Help teach them to help themselves rather than aid in their current situation.,
South Waterfront,south waterfront,housing,housing,You need to help the vets. We fight for you with our lives and we need more schools for our freedom,,Corbett Oregon
South Waterfront,south waterfront,housing,housing,Housing/Facilities for homeless population,"Advocate to repurpose materials to create more infrastructure, could make an educational project",
South Waterfront,south waterfront,housing,housing,Fix the homeless problem in portland. Downtown is turning disgusting,Be willing to pay more tax to fix the problem if needed!,
South Waterfront,south waterfront,housing,housing,More affordable housing,Advocate for more affordable housing,
Overlook,overlook,housing,housing,"Control over development. Developers only seeing $$$ and uglifying neighborhoods, building mcmansions, covering whole lots, destroying heritage trees. More concetrated housing good. Ugly mansions are BAD.",? break windows? Continue complaining to city agencies who blindly refulse to listen?,
Overlook,overlook,housing,housing,Low cost housing,,
Overlook,overlook,housing,housing,Places for people to live and sleep,Do my best to give homeless people my spare change,
Overlook,overlook,housing,housing,Affordable housing - no more condos!,,
Brooklyn,brooklyn,housing,housing,Affordable housing,Vote in local elections,
Brooklyn,brooklyn,housing,housing,Affordable living. Keep PDX affordable so the people who made Portland what it is can still live here!,"Participating in community, involvement, service of announcement",
East Moreland,east moreland,housing,housing,"Zoning changes to encourage builders/developers, to build affordable housing.",,
Gateway,gateway,housing,housing,ADA ramps!,Voice my concern!,
Gateway,gateway,housing,housing,Homes/Apt/Lower Rent/Cost,Spread the word.,
Richmond,richmond,housing,housing,"New builds that are character-appropriate for our neighborhood (i.e. modestly sized, charismatic design) rather than the large condos going up (especially on Clinton).",Try to be more active in planning meetings and coordinate neighborhood efforts.,
Richmond,richmond,housing,housing,Places to put people; therefore attractive higher density housing will be needed.,,
Richmond,richmond,housing,housing,Affordable housing rent control!,Move where I can afford and commute. 1 hour and a half to drive to work which pollutes the air.,
Richmond,richmond,housing,housing,Restrictions on development,Not support the new developments on Hawthorne and Division,
Richmond,richmond,housing,housing,Land zoning for multi purpose buildings,Vote for those changes,
Reed,reed,housing,housing,Housing housing housing housing,Pass exclusionary zoning,
Reed,reed,housing,housing,"Woodstock. Fair housing, gentrifications that considers all income levels.",,
Woodstock,woodstock,housing,housing,Housing for families closer to downtown,Look for properties that I can restore,
Forest Park / Goose Hollow / Bridlemile,forest park / goose hollow / bridlemile,housing,housing,Geodesic domes with hammocks for basic weather for public,Keep writing letter to Earl Blummenaur,
Forest Park / Goose Hollow / Bridlemile,forest park / goose hollow / bridlemile,housing,housing,Better $ on apartments and housing for homeless,,
Chinatown,chinatown,housing,housing,Affordable housing,vote for people who will put caps on prices and rental increases,
Chinatown,chinatown,housing,housing,,Better $ on apartments and housing for homeless,
Chinatown,chinatown,housing,housing,Affordable housing,give my change to homeless people,
Chinatown,chinatown,housing,housing,Low income housing and more publicly known social programs to help people who are homeless and mentally ill,"be willing to pay more taxes for programs, donate materials, and volunteer my time to help these people. let's take care of everyone",
Woodlawn,woodlawn,housing,housing,"shared space housing. community, saved space through shared space","Invest in a home within my means, welcome cummunity into that space and eventually invest in new opportunities (NE Dekum)",
Woodlawn,woodlawn,housing,housing,To stop pricing native residents out of their homes,raise awareness!,
Concordia,concordia,housing,housing,Affordable houses for people to live in,Vote. advocated for programs that will fight for low-income folks,
Foster-Powell,foster-powell,housing,housing,felony friendly and affordable housing so we don't have to work 7 days a week to make rent and bills,keep on looking for an apartment or house for rent that i can only work one job,
Foster-Powell,foster-powell,housing,housing,affordable housing,vote for those who work to provide affordable housing for all of us,
Foster-Powell,foster-powell,housing,housing,affordable anti-displacing un-gentrifying housing,try to design it,
Foster-Powell,foster-powell,housing,housing,low income housing,,
Foster-Powell,foster-powell,housing,housing,affordable / low income apartments and homes,support bills to help them pass,
Foster-Powell,foster-powell,housing,housing,research how i can help attend meetings about,stop ludicrous rent increases,
Foster-Powell,foster-powell,housing,housing,"affordable houses - less displacement, not just big apartment buildings, single family houses",make prospective gentrifiers uncomfortable,
Foster-Powell,foster-powell,housing,housing,reasonable cost and increases,thank you follow up with any and all groups about this issue,
Foster-Powell,foster-powell,housing,housing,"buidling of affordable housing and apartments - not just high priced aimed for nike, intel",struggle and wait,
Foster-Powell,foster-powell,housing,housing,accesible entry-level first time homebuyer houses that are along bus lines and bike routes,look into the portland housing bureau holte program,
Foster-Powell,foster-powell,housing,housing,"original homes, not cookie-cutter developments",,
Mt. Tabor,mt. tabor,housing,housing,enforcement on subdivision of lots,encourage people in my neighborhood to take action,
Mt. Tabor,mt. tabor,housing,housing,affordable housing for low income at risk families,volunteer with a local housing advocacy group to help people be aware of their rights,
Mt. Tabor,mt. tabor,housing,housing,mental health and drug treatment facilities,support candidates who also want this.,
Mt. Tabor,mt. tabor,housing,housing,"affordable housing $700 and more per month is ridiculous, wages don't keep up. 2. housing for all these street people - our sick society needs to house these poor folks, especially families",stay where i live and hope it stays reasonable and the landlord remains compassionate,
Mt. Tabor,mt. tabor,housing,housing,affordable housing that is designed to scale and character of the surrounding neighborhood,try not to throw eggs at the monstrosity - the Yard. and i will never sell my house to a californian,
Mt. Tabor,mt. tabor,housing,housing,income restricted units in lower SE portland,actively voice my concerns over housing issues,
Mt. Tabor,mt. tabor,housing,housing,family stuff to do in portland,be able to go to places with family members,
Lents,lents,housing,housing,repairs to our homes and more beauty,help keep our neighborhoods clean and collect tras,
Lents,lents,housing,housing,zombie houses turned into fix for homelessness,ask that we forclose abandoned homes / work with owner to create housing options for unhoused,
Sellwood,sellwood,housing,housing,preservation of old portland architecture capping costs on ,,
Sellwood,sellwood,housing,housing,affordable housing i am a professional with lots of education and experience - but housing is out of reach,"hope for more apartments, to reduce the pressure on housing and return housing to a reasonable amount ""i am the disappearing middle class""",
Gresham,gresham,housing,housing,enforcement of codes on the books and other codes,update city/county codes to reflrect density to reduce light / vibrations / smoke pollution improve basic livability,
Gresham,gresham,housing,housing,affordable housing in portland. changes in pdx end up dumping on gresham,ask for more portland housing (low income). quit sending pdx problems to suburbs.,
Gresham,gresham,housing,housing,laws for landlords not to raise the rent no more,,
Sullivan's Gulch,sullivan's gulch,housing,housing,stopping the demolition of homes to put up cheap housing,stop demolition of old homes to build cheap housing i.e. holiday park plaza,
Sullivan's Gulch,sullivan's gulch,housing,housing,"affordable housing!! i was evicted from a home I built over 6 years, so they could raise rent 300%! :(",Continue to lobby my officials to remedy this! It has to stop!,
Sullivan's Gulch,sullivan's gulch,housing,housing,,who is getting paid off in the city that allows crappy construction and change of zoning laws i.e. holiday park plaza,
Ladd,ladd,housing,housing,"affordable housing, especially for elderly and marginalized communities","contact my local reps, contact the new mayor!",
Ladd,ladd,housing,housing,affordable housing,strive to learn more about how i can advocate for this,
Ladd,ladd,housing,housing,yuppies and hipsters to be rounded up and taken to california,drive the buses there,
Kerns,kerns,housing,housing,affordable homes for artists and the youth of portland who are being priced out of childhood neighborhoods,keep bringing it up :),
Hollywood,hollywood,housing,housing,controls on rent increases,know that the city is taking it seriously that people are getting kicked out of their homes,
Irvington,irvington,housing,housing,housing options for homeless / less trash work prgram = house,be loud and,
Irvington,irvington,housing,housing,"affordable housing. we have to think about increasing density, but not larger homes, integrating instead multifamily int our communities","talk to my community board, however I don't believe our mayor is listening",
Irvington,irvington,housing,housing,affordable housing for recent graduates and working class folks,resist the temptation of rent controls and instead encourage incentivise development of affordable options,
Roseway,roseway,housing,housing,respect for the history of this city and landscape stop skinny houses!,support friends of trees and restoration projects,
